지점정보,경도,위도,평균기온편차(°C),강수량(mm),ESS_적합도
속초(90),128.56473,38.25085,1.6,1234.1,0.20204856747706082
철원(95),127.3042,38.14787,2.0,1645.7,0.17292773850225698
동두천(98),127.0607,37.90188,1.7,1170.6,0.27485063991406966
파주(99),126.76648,37.88589,1.5,1472.6,0.10130510176143105
대관령(100),128.71834,37.67713,1.8,1169.7,0.3301998722277996
춘천(101),127.7357,37.90262,1.9,1219.6,0.36071075041596157
백령도(102),124.71237,37.97396,1.9,857.9,0.5384615384615383
강릉(105),128.89099,37.75147,1.8,1400.2,0.23310704080987918
동해(106),129.12433,37.50709,1.9,1275.0,0.33348544309573774
서울(108),126.9658,37.57142,2.1,1311.4,0.4057680021903805
인천(112),126.6249,37.47772,1.7,1060.8,0.31339291355719207
원주(114),127.94659,37.33749,2.5,1374.5,0.5285205804508533
울릉도(115),130.89863,37.48129,2.0,1953.6,-1.3664283380001927e-16
수원(119),126.983,37.25746,1.6,1378.2,0.16158269037706843
영월(121),128.45743,37.18126,2.2,1316.7,0.4471324969636551
충주(127),127.9525,36.97045,2.1,1448.0,0.3194585828518475
서산(129),126.4939,36.77658,2.0,1806.1,0.08284131675570928
울진(130),129.41278,36.99176,1.7,1017.3,0.32866239355241816
청주(131),127.44066,36.63924,2.5,1534.9,0.38213014511271304
대전(133),127.3721,36.37199,1.8,1360.5,0.24982975407361646
추풍령(135),127.99458,36.22025,1.7,1231.5,0.2534733679207531
안동(136),128.70733,36.57293,2.0,1070.6,0.4959246284426535
상주(137),128.15741,36.40837,1.8,1469.9,0.2037475165156099
포항(138),129.38002,36.03201,1.6,1089.4,0.2426829353907935
군산(140),126.76135,36.0053,1.8,1477.5,0.20054619105454186
울산(152),129.33469,35.58237,1.2,1298.0,0.0
