"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상"
"서울특별시  (1100000000)","9,328,042","9,328,042","472,605","722,079","1,289,475","1,450,047","1,373,649","1,481,564","1,320,507","800,656","363,626","52,340","1,494"
"서울특별시 종로구 (1111000000)","138,049","138,049","5,311","9,388","20,717","19,785","18,365","23,197","20,979","12,205","6,915","1,147","40"
"서울특별시 종로구 청운효자동(1111051500)","10,978","10,978","523","1,025","1,300","1,506","1,741","1,899","1,409","911","564","96","4"
"서울특별시 종로구 사직동(1111053000)","8,906","8,906","391","616","1,014","1,424","1,385","1,462","1,262","727","512","106","7"
"서울특별시 종로구 삼청동(1111054000)","2,157","2,157","75","155","225","273","297","327","368","257","148","32","0"
"서울특별시 종로구 부암동(1111055000)","9,030","9,030","358","770","1,027","1,207","1,324","1,605","1,381","815","453","87","3"
"서울특별시 종로구 평창동(1111056000)","17,210","17,210","912","1,513","1,872","2,040","2,397","3,069","2,838","1,523","843","192","11"
"서울특별시 종로구 무악동(1111057000)","7,818","7,818","497","884","796","807","1,238","1,406","1,123","633","376","57","1"
"서울특별시 종로구 교남동(1111058000)","9,498","9,498","660","746","1,048","1,392","1,628","1,654","1,170","760","389","51","0"
"서울특별시 종로구 가회동(1111060000)","3,711","3,711","143","287","365","504","575","653","551","365","229","37","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,700","6,700","144","217","926","1,042","819","1,063","1,284","761","385","56","3"
"서울특별시 종로구 종로5.6가동(1111063000)","5,277","5,277","134","187","1,061","972","568","796","807","455","261","36","0"
"서울특별시 종로구 이화동(1111064000)","7,051","7,051","155","324","1,594","1,244","784","996","943","603","352","56","0"
"서울특별시 종로구 혜화동(1111065000)","15,781","15,781","447","1,199","4,250","2,015","1,816","2,295","1,719","1,137","775","121","7"
"서울특별시 종로구 창신제1동(1111067000)","4,488","4,488","105","156","538","601","455","777","1,033","528","267","28","0"
"서울특별시 종로구 창신제2동(1111068000)","7,246","7,246","137","290","825","907","720","1,535","1,568","805","405","54","0"
"서울특별시 종로구 창신제3동(1111069000)","6,215","6,215","258","397","732","918","769","1,126","1,100","567","298","50","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,737","5,737","165","330","706","805","766","1,049","1,006","566","297","45","2"
"서울특별시 종로구 숭인제2동(1111071000)","10,246","10,246","207","292","2,438","2,128","1,083","1,485","1,417","792","361","43","0"
"서울특별시 중구 (1114000000)","119,336","119,336","5,111","5,904","16,348","21,328","16,231","18,271","18,139","11,194","5,821","968","21"
"서울특별시 중구 소공동(1114052000)","2,180","2,180","139","150","205","435","538","321","210","115","59","8","0"
"서울특별시 중구 회현동(1114054000)","4,288","4,288","144","206","396","535","479","750","888","572","259","58","1"
"서울특별시 중구 명동(1114055000)","2,502","2,502","43","114","304","318","323","437","463","309","155","36","0"
"서울특별시 중구 필동(1114057000)","4,339","4,339","131","202","819","872","529","576","587","365","198","58","2"
"서울특별시 중구 장충동(1114058000)","4,601","4,601","110","284","1,276","654","472","599","545","391","231","38","1"
"서울특별시 중구 광희동(1114059000)","5,721","5,721","114","176","1,131","1,294","673","706","830","515","251","31","0"
"서울특별시 중구 을지로동(1114060500)","3,032","3,032","128","81","366","896","494","353","375","220","107","12","0"
"서울특별시 중구 신당동(1114061500)","7,359","7,359","215","242","1,185","1,352","949","1,117","1,186","705","352","54","2"
"서울특별시 중구 다산동(1114062500)","13,060","13,060","391","657","1,874","2,147","1,677","2,135","2,103","1,278","695","102","1"
"서울특별시 중구 약수동(1114063500)","15,859","15,859","756","838","1,648","2,300","2,070","2,562","2,697","1,804","1,011","170","3"
"서울특별시 중구 청구동(1114064500)","11,375","11,375","529","608","1,293","2,013","1,403","1,807","1,819","1,158","646","98","1"
"서울특별시 중구 신당제5동(1114065000)","10,064","10,064","406","493","1,356","1,881","1,350","1,675","1,541","870","430","61","1"
"서울특별시 중구 동화동(1114066500)","9,816","9,816","555","697","1,030","1,288","1,326","1,714","1,696","913","507","89","1"
"서울특별시 중구 황학동(1114067000)","13,116","13,116","572","442","2,173","3,231","1,879","1,695","1,614","1,010","426","72","2"
"서울특별시 중구 중림동(1114068000)","12,024","12,024","878","714","1,292","2,112","2,069","1,824","1,585","969","494","81","6"
"서울특별시 용산구 (1117000000)","203,287","203,287","10,077","12,851","27,334","36,887","29,191","32,433","28,387","15,862","8,708","1,507","50"
"서울특별시 용산구 후암동(1117051000)","15,742","15,742","603","1,062","2,074","2,801","2,198","2,532","2,309","1,347","707","103","6"
"서울특별시 용산구 용산2가동(1117052000)","8,595","8,595","219","397","1,246","1,638","1,149","1,199","1,276","894","494","82","1"
"서울특별시 용산구 남영동(1117053000)","6,709","6,709","114","197","751","1,076","772","1,355","1,453","644","303","40","4"
"서울특별시 용산구 청파동(1117055500)","18,528","18,528","421","912","3,864","3,438","2,132","2,890","2,533","1,458","779","97","4"
"서울특별시 용산구 원효로제1동(1117056000)","17,128","17,128","1,039","936","2,769","4,347","2,577","2,242","1,827","916","401","73","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,511","13,511","718","922","1,791","2,405","1,875","2,175","1,906","1,050","572","94","3"
"서울특별시 용산구 효창동(1117058000)","10,486","10,486","634","671","1,447","2,053","1,561","1,732","1,250","666","407","64","1"
"서울특별시 용산구 용문동(1117059000)","11,126","11,126","545","623","1,501","1,931","1,475","1,826","1,595","1,030","530","65","5"
"서울특별시 용산구 한강로동(1117062500)","21,030","21,030","1,198","943","2,963","4,940","2,875","3,152","2,788","1,358","683","127","3"
"서울특별시 용산구 이촌제1동(1117063000)","24,938","24,938","2,070","2,594","2,516","3,006","4,052","4,443","3,113","1,693","1,187","259","5"
"서울특별시 용산구 이촌제2동(1117064000)","7,746","7,746","399","418","757","1,332","1,121","1,197","1,286","775","390","69","2"
"서울특별시 용산구 이태원제1동(1117065000)","6,034","6,034","201","239","759","1,175","787","889","1,009","583","321","69","2"
"서울특별시 용산구 이태원제2동(1117066000)","8,444","8,444","300","411","1,135","1,684","1,258","1,226","1,156","722","471","80","1"
"서울특별시 용산구 한남동(1117068500)","13,944","13,944","861","885","1,447","2,503","2,386","2,219","1,864","1,134","547","95","3"
"서울특별시 용산구 서빙고동(1117069000)","12,281","12,281","606","1,305","1,487","1,467","2,055","2,082","1,711","866","566","129","7"
"서울특별시 용산구 보광동(1117070000)","7,045","7,045","149","336","827","1,091","918","1,274","1,311","726","350","61","2"
"서울특별시 성동구 (1120000000)","273,305","273,305","15,645","17,449","38,367","46,683","39,454","43,239","38,421","21,724","10,802","1,486","35"
"서울특별시 성동구 왕십리제2동(1120052000)","15,870","15,870","974","1,005","2,035","2,889","2,270","2,540","2,243","1,240","584","86","4"
"서울특별시 성동구 왕십리도선동(1120053500)","25,879","25,879","1,846","1,677","3,654","4,460","3,863","4,184","3,310","1,798","951","134","2"
"서울특별시 성동구 마장동(1120054000)","21,340","21,340","908","1,379","3,904","3,261","2,483","3,317","3,130","1,901","928","127","2"
"서울특별시 성동구 사근동(1120055000)","12,050","12,050","272","799","4,912","1,628","1,012","1,281","985","696","432","33","0"
"서울특별시 성동구 행당제1동(1120056000)","13,654","13,654","787","963","2,048","2,414","1,957","2,132","1,772","990","521","66","4"
"서울특별시 성동구 행당제2동(1120057000)","22,497","22,497","1,493","1,834","2,411","3,447","3,394","3,926","3,057","1,878","919","133","5"
"서울특별시 성동구 응봉동(1120058000)","14,593","14,593","889","1,407","1,562","2,048","2,446","2,545","1,827","1,139","642","88","0"
"서울특별시 성동구 금호1가동(1120059000)","14,460","14,460","979","1,023","1,402","2,242","2,456","2,277","2,122","1,272","589","97","1"
"서울특별시 성동구 금호2.3가동(1120061500)","20,733","20,733","1,406","1,155","2,182","3,705","3,306","3,293","2,946","1,751","869","114","6"
"서울특별시 성동구 금호4가동(1120062000)","14,021","14,021","1,099","915","1,209","2,389","2,475","2,134","1,922","1,204","577","95","2"
"서울특별시 성동구 옥수동(1120064500)","25,178","25,178","2,180","1,632","2,223","4,556","4,381","3,715","3,416","1,935","980","157","3"
"서울특별시 성동구 성수1가제1동(1120065000)","15,061","15,061","734","838","2,021","2,892","1,954","2,632","2,429","1,041","450","68","2"
"서울특별시 성동구 성수1가제2동(1120066000)","12,998","12,998","679","738","1,773","2,610","1,885","2,044","1,823","950","450","46","0"
"서울특별시 성동구 성수2가제1동(1120067000)","13,924","13,924","494","666","1,647","2,328","1,760","2,348","2,737","1,299","566","79","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,569","9,569","368","494","1,438","1,810","1,284","1,471","1,406","810","434","53","1"
"서울특별시 성동구 송정동(1120072000)","9,321","9,321","301","442","1,319","1,568","1,247","1,584","1,651","826","343","40","0"
"서울특별시 성동구 용답동(1120079000)","12,157","12,157","236","482","2,627","2,436","1,281","1,816","1,645","994","567","70","3"
"서울특별시 광진구 (1121500000)","332,900","332,900","13,885","23,023","56,540","56,282","46,220","51,886","46,026","25,581","11,737","1,672","48"
"서울특별시 광진구 화양동(1121571000)","23,028","23,028","278","728","9,947","4,906","1,942","1,925","1,599","1,109","529","62","3"
"서울특별시 광진구 군자동(1121573000)","18,597","18,597","525","929","4,100","3,393","2,354","2,493","2,517","1,461","739","82","4"
"서울특별시 광진구 중곡제1동(1121574000)","14,967","14,967","462","631","2,572","3,104","1,893","2,265","2,185","1,196","591","67","1"
"서울특별시 광진구 중곡제2동(1121575000)","19,983","19,983","697","1,161","3,085","3,647","2,595","3,212","3,092","1,706","705","83","0"
"서울특별시 광진구 중곡제3동(1121576000)","15,312","15,312","494","729","2,190","2,732","1,925","2,515","2,566","1,428","667","65","1"
"서울특별시 광진구 중곡제4동(1121577000)","27,005","27,005","869","1,571","3,514","4,040","3,368","4,859","4,823","2,691","1,127","137","6"
"서울특별시 광진구 능동(1121578000)","10,812","10,812","376","483","2,080","2,438","1,555","1,423","1,244","795","382","35","1"
"서울특별시 광진구 광장동(1121581000)","33,412","33,412","2,364","5,109","3,646","3,379","6,512","5,917","3,628","1,757","901","195","4"
"서울특별시 광진구 자양제1동(1121582000)","21,654","21,654","613","1,294","3,856","3,869","2,953","3,342","3,093","1,689","841","103","1"
"서울특별시 광진구 자양제2동(1121583000)","25,808","25,808","1,473","1,803","3,357","4,666","3,785","3,972","3,738","2,036","855","121","2"
"서울특별시 광진구 자양제3동(1121584000)","26,853","26,853","1,734","2,314","3,364","3,823","4,078","4,445","3,876","2,024","970","215","10"
"서울특별시 광진구 자양제4동(1121584700)","19,983","19,983","699","836","3,227","3,685","2,416","3,110","3,152","1,922","810","123","3"
"서울특별시 광진구 구의제1동(1121585000)","22,914","22,914","723","1,172","4,694","4,567","3,039","3,464","2,868","1,543","740","101","3"
"서울특별시 광진구 구의제2동(1121586000)","25,034","25,034","1,142","2,002","3,091","3,562","3,757","4,366","3,828","2,186","974","119","7"
"서울특별시 광진구 구의제3동(1121587000)","27,538","27,538","1,436","2,261","3,817","4,471","4,048","4,578","3,817","2,038","906","164","2"
"서울특별시 동대문구 (1123000000)","342,258","342,258","17,284","22,901","55,533","51,482","47,397","52,256","48,406","30,113","14,878","1,955","53"
"서울특별시 동대문구 용신동(1123053600)","38,814","38,814","1,825","1,884","6,895","7,267","5,468","5,739","5,095","2,918","1,518","201","4"
"서울특별시 동대문구 제기동(1123054500)","22,802","22,802","690","1,140","4,328","3,136","2,466","3,366","3,649","2,508","1,346","166","7"
"서울특별시 동대문구 전농제1동(1123056000)","32,694","32,694","1,808","2,154","4,847","4,766","4,661","5,385","4,742","2,745","1,382","198","6"
"서울특별시 동대문구 전농제2동(1123057000)","17,531","17,531","885","1,438","1,916","2,106","2,471","3,075","2,854","1,740","930","113","3"
"서울특별시 동대문구 답십리제1동(1123060000)","27,571","27,571","2,038","1,928","3,661","4,902","4,561","3,938","3,527","1,938","948","127","3"
"서울특별시 동대문구 답십리제2동(1123061000)","27,364","27,364","1,515","1,638","2,928","4,409","3,704","4,450","4,439","2,736","1,375","167","3"
"서울특별시 동대문구 장안제1동(1123065000)","37,095","37,095","1,840","2,470","4,650","6,022","5,785","5,761","5,602","3,446","1,358","157","4"
"서울특별시 동대문구 장안제2동(1123066000)","32,922","32,922","2,356","2,884","3,629","4,840","5,649","5,081","4,504","2,742","1,095","141","1"
"서울특별시 동대문구 청량리동(1123070500)","18,294","18,294","533","864","2,097","2,137","2,038","2,890","3,732","2,476","1,296","225","6"
"서울특별시 동대문구 회기동(1123071000)","10,245","10,245","278","765","3,355","1,489","1,090","1,189","929","668","416","64","2"
"서울특별시 동대문구 휘경제1동(1123072000)","13,034","13,034","552","776","3,576","1,963","1,505","1,766","1,379","949","499","66","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,050","24,050","875","1,924","5,658","3,111","2,901","3,512","3,014","2,006","930","115","4"
"서울특별시 동대문구 이문제1동(1123074000)","21,404","21,404","1,174","1,581","5,534","3,157","2,608","2,893","2,210","1,311","819","114","3"
"서울특별시 동대문구 이문제2동(1123075000)","18,438","18,438","915","1,455","2,459","2,177","2,490","3,211","2,730","1,930","966","101","4"
"서울특별시 중랑구 (1126000000)","377,566","377,566","17,112","23,213","46,367","58,086","51,126","62,655","64,106","36,541","16,145","2,154","61"
"서울특별시 중랑구 면목제2동(1126052000)","23,171","23,171","814","1,281","2,648","3,383","3,069","4,148","4,289","2,312","1,081","141","5"
"서울특별시 중랑구 면목제4동(1126054000)","17,681","17,681","735","1,042","2,040","2,409","2,509","3,093","2,988","1,932","848","82","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,125","14,125","1,101","884","1,391","2,188","2,311","2,358","2,168","1,171","498","55","0"
"서울특별시 중랑구 면목본동(1126056500)","32,080","32,080","1,019","1,495","4,399","5,373","4,088","5,650","5,438","3,085","1,370","161","2"
"서울특별시 중랑구 면목제7동(1126057000)","20,853","20,853","940","1,026","2,434","3,248","2,728","3,485","3,697","2,254","902","137","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,714","23,714","808","1,152","2,969","3,506","2,978","4,148","4,387","2,538","1,092","131","5"
"서울특별시 중랑구 상봉제1동(1126058000)","22,715","22,715","1,319","1,662","2,700","3,362","3,131","3,756","3,900","1,906","877","101","1"
