대피장소명,세부위치명,수용인원,도로명주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
남호초등학교,체육관,466,강원특별자치도 동해시 평원로 120(평릉동),37.5343461,129.1126837,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
동해상업고등학교,체육관,773,강원특별자치도 동해시 느릅재길 65 (발한동),37.54342868,129.0940094,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
동해중앙초등학교,체육관,1044,강원특별자치도 동해시 천곡로 35 (천곡동),37.52545762,129.1091574,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
동해초등학교,체육관,1007,강원특별자치도 동해시 봉오주택길 22(용정동),37.51150288,129.1211791,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
동호초등학교,체육관,461,강원특별자치도 동해시 발한로 123(발한동),37.54445657,129.1000632,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
망상초등학교,체육관,346,강원특별자치도 동해시 동해대로 6251(망상동),37.5911125,129.0901151,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
묵호고등학교,체육관,484,강원특별자치도 동해시 승지로 37(부곡동),37.53803563,129.0955917,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
묵호중학교,체육관,704,강원특별자치도 동해시 향로3길 42(발한동),37.544013,129.105417,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
묵호초등학교,체육관,480,강원특별자치도 동해시 발한천길 30(발한동),37.552354,129.103614,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
북평고등학교,체육관,819,강원특별자치도 동해시 효자남길 51(동회동),37.49832262,129.116001,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
북평여자고등학교,체육관,213,강원특별자치도 동해시 동굴로 55(천곡동),37.51772202,129.1095651,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
북평중학교,다목적실,570,강원특별자치도 동해시 용정로 40-7 (용정동),37.49832262,129.116001,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
북평초등학교,다목적실,1056,강원특별자치도 동해시 오일장1길 22(북평동),37.48253189,129.1238294,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
삼화초등학교,다목적실,457,강원특별자치도 동해시 파수길 38 (이로동),37.48565979,129.0678208,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
예람중학교,체육관,1134,강원특별자치도 동해시 선돌길 21(단봉동),37.48098614,129.1233529,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
창호초등학교,다목적실,176,강원특별자치도 동해시 해맞이길 183(묵호진동),37.5592655,129.1082001,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
천곡초등학교,체육관,1061,강원특별자치도 동해시 동굴로 33(천곡동),37.51793433,129.1077586,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
청운초등학교,체육관,1487,강원특별자치도 동해시 청운로 60(쇄운동),37.48562455,129.104076,2021,화학사고,033-539-8849,강원특별자치도 동해시 안전도시국 환경과,2021-09-24
고원실내체육관,체육관,10624,강원특별자치도 태백시 태백로 1485(문곡동),37.1340654,129.0059535,2021,화학사고,033-550-2758,강원특별자치도 태백시 경제산업국 스포츠과,2021-09-17
태백국민체육센터,체육관,1556,강원특별자치도 태백시 번영로 220(황지동),37.16298228,128.985334,2021,화학사고,033-550-2192,강원특별자치도 태백시 경제산업국 스포츠과,2021-09-17
홍천종합체육관,체육관,1590,강원특별자치도 홍천군 홍천읍 태학여내길 22 (태학리),37.708614,127.908086,2021,화학사고,033-430-2625,강원특별자치도 홍천군 건설안전국 환경과,2021-10-05
남면복지회관,다목적실,139,강원특별자치도 홍천군 남면 시동안로 271 (시동리),37.589812,127.837111,2021,화학사고,033-430-2625,강원특별자치도 홍천군 건설안전국 환경과,2021-10-05
공근초등학교,체육관,631,강원특별자치도 횡성군 공근면 영서로 207 (학담리),37.53335908,127.9607436,2021,화학사고,033-340-2431,강원특별자치도 횡성군 환경과,2022-10-18
현천고등학교,체육관,870,강원특별자치도 횡성군 둔내면 경강로 4119 (현천리),37.48609799,128.1709537,2021,화학사고,033-340-2431,강원특별자치도 횡성군 환경과,2022-10-18
호산초등학교,학교,721,강원특별자치도 삼척시 원덕읍 삼척로 462-12 (호산리),37.17737516,129.3352297,2021,화학사고,033-570-3332,강원특별자치도 삼척시 안전건설국 환경과,2023-08-24
원덕중고등학교,학교,6057,강원특별자치도 삼척시 원덕읍 삼척로 480 (호산리),37.178753,129.332934,2021,화학사고,033-570-3332,강원특별자치도 삼척시 안전건설국 환경과,2023-08-24
