연번,시설물명,시설물 우편번호,시설물주소,저류조용량_세제곱미터,사용용도,비고,데이터기준일자
1,르노코리아자동차(주) 중앙연구소,17084,경기도 용인시 기흥구 탑실로 61,225,화장실 및 조경용수,,2025-01-31
2,수지구청,16835,경기도 용인시 수지구 포은대로 435,370,조경용수,,2025-01-31
3,용인시시민체육센터,17030,경기도 용인시 처인구 포곡읍 금어로 317,8,조경용수,빗물-중수 하이브리드,2025-01-31
4,금호타이어연구소,17076,경기도 용인시 기흥구 사은로 215-21,249,조경용수,,2025-01-31
5,삼성전자 인재개발원(삼성전자 연수원),17112,경기도 용인시 기흥구 서천동로 59,18.74,조경용수,,2025-01-31
6,상현도서관,16942,경기도 용인시 수지구 법조로 232,140,조경용수,,2025-01-31
7,삼계고등학교,17029,경기도 용인시 처인구 포곡읍 백옥대로1898번길 34-42,43,조경 및 화장실 위생용수,빗물-중수 하이브리드,2025-01-31
8,포곡읍행정복지센터 ,17028,경기도 용인시 처인구 포곡읍 포곡로 258,8,조경용수,빗물-중수 하이브리드,2025-01-31
9,기흥구보건소 및 신갈동주민센터,16969,경기도 용인시 기흥구 신갈로58번길 11,150,조경 및 청소용수,,2025-01-31
10,용인 센트럴코업 호텔,17053,경기도 용인시 처인구 중부대로 1216,20,조경용수,,2025-01-31
11,기흥역 지웰푸르지오,17066,경기도 용인시 기흥구 기흥역로 16,90, 조경용수 및 세척용수,,2025-01-31
12,역북푸르지오,17056,경기도 용인시 처인구 명지로40번길 35-16,390,조경용수,,2025-01-31
13,기흥역 롯데캐슬레이시티,17065,경기도 용인시 기흥구 기흥역로 9,270,조경용수,,2025-01-31
14,수지성복 효성해링턴코트,16804,경기도 용인시 수지구 성복동 787,716,조경용수,,2025-01-31
15,e-편한세상 용인 한숲시티(5블록),17117,경기도 용인시 처인구 남사읍 한숲로 83,760,조경용수,,2025-01-31
16,e-편한세상 용인 한숲시티(6블록),17117,경기도 용인시 처인구 남사읍 한숲로 84,680,조경용수,,2025-01-31
17,기흥역 센트럴푸르지오,17066,경기도 용인시 기흥구 기흥역로58번길 10,1369,조경용수,,2025-01-31
18,기흥역 파크푸르지오,17066,경기도 용인시 기흥구 기흥역로58번길 56,506,조경용수,,2025-01-31
