연번,사업장명,사업장소재지,업종,종별,폐수발생량 또는 폐수 배출량(세제곱미터_일),데이터기준일자
1,㈜조양,경기도 용인시 처인구 양지면 은이로 16,기타섬유제품,4,85.04,2024-02-13
2,한림제약㈜,경기도 용인시 처인구 영문로 2-27(유방동),의료용 물질 및의약품 제조시설,5,49.5,2024-02-13
3,농업법인(주)대마,경기도 용인시 처인구 경안천로 214-2(고림동),식품(육가공),3,510,2024-02-13
4,동아쏘시오홀딩스㈜,경기도 용인시 기흥구 금화로105번길 21(상갈동),의약품,4,84,2024-02-13
5,(주)아모레퍼시픽,경기도 용인시 기흥구 용구대로 1920,기타(연구),4,140,2024-02-13
6,동일세라믹스,경기도 용인시 처인구 포곡읍 백옥대로1832번길 14-5,비금속(벽돌),5,3,2024-02-13
7,㈜청광,경기도 용인시 처인구 모현면 백옥대로 2183-1,비금속(레미콘),5,0,2024-02-13
8,성신레미컨㈜용인공장,경기도 용인시 처인구 동부로 97(마평동),비금속(시멘트),5,45,2024-02-13
9,삼화콘덴서공업㈜,경기도 용인시 처인구 남사면 경기동로 227,기타(전지외),4,100,2024-02-13
10,(주)에이제이에스 용인지점,경기도 용인시 처인구 백암면 덕평로80번길 17,금속,5,4.95,2024-02-13
11,경남판지㈜,경기도 용인시 처인구 포곡읍 양지촌로 4-24,기타(인쇄),5,0.2,2024-02-13
12,영산콘크리트공업㈜,경기도 용인시 처인구 모현면 오산로 45-40,비금속(레미콘),5,25,2024-02-13
13,삼성에스디아이㈜,경기도 용인시 기흥구 공세로 150-20,연구,5,8.2,2024-02-13
14,용인경량전철㈜,경기도 용인시 처인구 중부대로 1074(삼가동),세차업,4,89,2024-02-13
15,㈜태준제약,경기도 용인시 처인구 남사면 경기동로 109-30,화학(의약품),4,70,2024-02-13
16,㈜건설콘크리트,경기도 용인시 기흥구 중부대로 38,비금속광물,5,100,2024-02-13
17,삼화전자공업㈜,경기도 용인시 처인구 남사면 경기동로 215,기타(전자부품),5,39.17,2024-02-13
18,㈜에이치제이씨(본사),경기도 용인시 처인구 이동면 서리로 23,기타(헬멧),5,12.55,2024-02-13
19,대상주식회사,경기도 용인시 기흥구 동탄기흥로681번길 28,식품,3,230,2024-02-13
20,국민레미콘㈜,경기도 용인시 처인구 백암면 죽양대로 831,비금속(레미콘),5,59,2024-02-13
21,한일산업㈜ 용인공장,경기도 용인시 처인구 이동면 화산로 14,비금속(레미콘),5,47.5,2024-02-13
22,㈜마니커애프앤지,경기도 용인시 처인구 이동면 백옥대로144번길 36-2,식품(육가공),3,470,2024-02-13
23,㈜에이치제이씨(제2공장),경기도 용인시 처인구 이동면 서리로 13,화학(플라스틱),5,21.436,2024-02-13
24,제일인더스트리,경기도 용인시 처인구 원삼면 맹리로127번길 28-5,화학(프라스틱),5,0.9,2024-02-13
25,롯데후레쉬델리카㈜ (구 롯데푸드),경기도 용인시 기흥구 중부대로874번길 2-1,식품,4,195,2024-02-13
26,㈜아크로검사정비,경기도 용인시 기흥구 석성로 110,세차,5,3,2024-02-13
27,㈜삼일이노팩 용인공장,경기도 용인시 처인구 백암면 삼백로 874-4,화학(플라스틱),5,192,2024-02-13
28,유진기업㈜수지,경기도 용인시 처인구 모현면 포은대로 890,비금속(레미콘),5,60.5,2024-02-13
29,㈜코코,경기도 용인시 처인구 이동면 백옥대로489번길 21,통신기기,5,8.16,2024-02-13
30,동광조명산업㈜,경기도 용인시 기흥구 고매로 171,조명장치제조,5,1,2024-02-13
31,한라엔켐㈜ 용인사업소,경기도 용인시 처인구 이동면 묘봉로 82-4,레미콘(비금속),5,30.6,2024-02-13
